"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score"
"FC","2017-10-01","90.8","2.3680","5.4084","A.J. Minter",449107,621345,"null","ball",,,,,"14","null","R","R","L","MIA","ATL","B","null","null",1,0,2017,"-0.3223","0.7819","1.0404","2.0705","null","null","500743.00",1,8,"Bot","null","null",,,435559,,"171001_221108","-2.6222","-131.9115","-4.0677","-3.2098","25.2685","-22.6108","3.2227","1.5281","null","null","null","90.1380","2431","5.7430",492515,621345,435559,518692,645277,547004,621020,572669,542255,455976,"54.7546","null","null","null","null","null","null","null",74,"2","Cutter",5,8,5,8,8,5,5,8
"FC","2017-10-01","90.9","2.4103","5.3489","A.J. Minter",500743,621345,"walk","blocked_ball",,,,,"13","Miguel Rojas walks.  ","R","R","L","MIA","ATL","B","null","null",3,2,2017,"-0.3069","0.4805","-0.2139","0.4751","null","null","null",1,8,"Bot","null","null",,,435559,,"171001_220953","-5.8688","-132.0315","-7.2905","-2.4769","24.2580","-25.4785","3.1922","1.5193","null","null","null","90.4180","2585","5.7840",492515,621345,435559,518692,645277,547004,621020,572669,542255,455976,"54.7135","null","null","0.70",1,0,0,"null",73,"6","Cutter",5,8,5,8,8,5,5,8
"FC","2017-10-01","91.5","2.4547","5.3815","A.J. Minter",500743,621345,"null","ball",,,,,"13","null","R","R","L","MIA","ATL","B","null","null",2,2,2017,"-0.2038","0.6538","-1.7602","1.8064","null","null","null",1,8,"Bot","null","null",,,435559,,"171001_220927","-10.0503","-132.6293","-4.4858","-0.4988","24.7288","-23.9432","3.1439","1.5388","null","null","null","90.6330","2482","5.6840",492515,621345,435559,518692,645277,547004,621020,572669,542255,455976,"54.8139","null","null","null","null","null","null","null",73,"5","Cutter",5,8,5,8,8,5,5,8
"FC","2017-10-01","92.2","2.5063","5.2416","A.J. Minter",500743,621345,"null","foul",,,,,"13","null","R","R","L","MIA","ATL","S","null","null",2,1,2017,"-0.0473","0.4367","-0.2386","1.1754","null","null","null",1,8,"Bot","null","null",,,435559,,"171001_220854","-6.7731","-133.7608","-5.3684","0.7922","26.6604","-26.1904","3.2316","1.4133","null","null","null","91.1540","2541","5.6460",492515,621345,435559,518692,645277,547004,621020,572669,542255,455976,"54.8516","null","null","null","null","null","null","null",73,"4","Cutter",5,8,5,8,8,5,5,8
"FC","2017-10-01","92.1","-0.7064","6.8546","Javy Guerra",435559,457915,"null","foul",,,,,"4","null","R","R","R","MIA","ATL","S","null","null",0,0,2017,"0.0133","1.7215","-0.3485","2.5961","null","null","null",1,8,"Top","null","null",,,592663,,"171001_215946","0.8624","-133.2782","-8.2888","-0.0558","32.2434","-10.7281","3.1612","1.3529","146","61.1","57.9265","89.8270","1970","5.4780",492515,457915,592663,571506,543829,605119,500743,542303,592885,519317,"55.0202","null","null","null","null","null","null","null",70,"1","Cutter",5,8,8,5,8,5,8,5
"FC","2017-10-01","92.8","-0.7126","5.5124","Phil Maton",467055,664208,"null","ball",,,,,"11","null","R","L","R","SF","SD","B","null","null",0,2,2017,"0.0428","1.6205","-1.3217","3.0192","null","null","null",1,9,"Bot","null","null",,,620443,,"171001_215903","-1.6694","-134.9532","-4.2277","0.8914","28.9492","-11.2826","3.1884","1.5115","null","null","null","93.7600","2543","6.8490",492526,664208,620443,500208,641319,605486,642707,518466,608671,592669,"53.6518","null","null","null","null","null","null","null",73,"3","Cutter",4,4,4,4,4,4,4,4
"FC","2017-10-01","91.1","-1.4555","6.5552","Brandon McCarthy",606132,435221,"double","hit_into_play_score",,,,,"3","Raimel Tapia doubles (12) on a line drive to right fielder Trayce Thompson.   Mike Tauchman scores.  ","R","L","R","COL","LAD","X","null","line_drive",0,1,2017,"0.1766","0.9296","0.4866","2.8298","643565.00","null","null",1,7,"Bot","198.53","113.92",,,571657,,"171001_220151","4.4626","-132.3510","-5.4006","1.1937","25.5310","-20.5350","2.9750","1.1872","187","93.9","11.8300","90.5990","2276","5.8530",492521,435221,571657,641355,605131,574847,518586,657077,592626,572204,"54.6476","0.902","0.860","1.25",1,1,1,4,67,"2","Cutter",2,6,2,6,6,2,2,6
"FC","2017-10-01","90.9","-1.4731","6.6248","Brandon McCarthy",606132,435221,"null","foul",,,,,"2","null","R","L","R","COL","LAD","S","null","null",0,0,2017,"0.4751","0.8454","-0.0222","2.6736","643565.00","null","null",1,7,"Bot","null","null",,,571657,,"171001_220126","2.6236","-132.3447","-5.8524","5.1493","21.2650","-21.5040","2.9750","1.1872","174","67.7","28.9200","91.0080","2321","5.7770",492521,435221,571657,641355,605131,574847,518586,657077,592626,572204,"54.7230","null","null","null","null","null","null","null",67,"1","Cutter",2,6,2,6,6,2,2,6
"FC","2017-10-01","86.1","-2.2976","5.8412","Mike Morin",502117,573046,"null","called_strike",,,,,"6","null","R","R","R","KC","ARI","S","null","null",0,0,2017,"-0.6383","0.7304","0.3585","2.5224","null","543302.00","453923.00",1,7,"Top","null","null",,,460077,,"171001_215929","7.6587","-125.1025","-3.2161","-8.2007","21.9698","-23.9342","3.5945","1.5682","null","null","null","87.1190","2038","6.7190",492514,573046,460077,461235,593160,596144,609275,624585,449181,593528,"53.7848","null","null","null","null","null","null","null",65,"1","Cutter",2,10,10,2,10,2,10,2
"FC","2017-10-01","91.3","-0.8868","6.1033","Roberto Osuna",407812,532077,"field_out","hit_into_play",,,,,"14","Matt Holliday grounds out, shortstop Richard Urena to first baseman Justin Smoak.  ","R","R","R","NYY","TOR","X",6,"ground_ball",1,2,2017,"0.4520","0.9012","0.8577","2.4584","null","null","null",1,9,"Bot","109.05","146.14",,,607257,,"171001_213448","3.4262","-132.8586","-5.3084","4.7874","23.9151","-20.6255","3.5368","1.6786","29","82.6","-3.1030","91.9000","2485","6.2860",492528,532077,607257,475253,572365,446381,620446,485567,606192,608701,"54.2114","0.172","0.132","0.00",1,0,0,2,62,"6","Cutter",1,2,1,2,2,1,1,2
"FC","2017-10-01","91.0","-0.7881","6.3811","Roberto Osuna",407812,532077,"null","foul",,,,,"5","null","R","R","R","NYY","TOR","S","null","null",1,2,2017,"0.4603","1.2301","0.2382","2.8540","null","null","null",1,9,"Bot","null","null",,,607257,,"171001_213417","1.5944","-132.2186","-5.5465","5.0647","26.0546","-16.9178","3.5368","1.6786","202","71.6","46.2232","90.8110","2469","6.0800",492528,532077,607257,475253,572365,446381,620446,485567,606192,608701,"54.4180","null","null","null","null","null","null","null",62,"5","Cutter",1,2,1,2,2,1,1,2
"FC","2017-10-01","91.7","-1.0474","6.1683","Roberto Osuna",407812,532077,"null","ball",,,,,"14","null","R","R","R","NYY","TOR","B","null","null",0,0,2017,"0.1663","1.7326","1.4097","1.2515","null","null","null",1,9,"Bot","null","null",,,607257,,"171001_213221","5.7991","-132.8633","-10.1183","0.7507","27.4642","-9.9969","3.6415","1.9294","null","null","null","90.9370","2479","5.9760",492528,532077,607257,475253,572365,446381,620446,485567,606192,608701,"54.5219","null","null","null","null","null","null","null",62,"1","Cutter",1,2,1,2,2,1,1,2
"FC","2017-10-01","91.4","-1.9903","5.0133","Dan Winkler",400085,595465,"null","ball",,,,,"14","null","R","L","R","MIA","ATL","B","null","null",2,2,2017,"0.3467","0.9728","1.8891","2.2985","null","null","500743.00",1,6,"Bot","null","null",,,435559,,"171001_211529","8.9811","-132.6091","-3.0291","2.3163","26.0568","-20.3375","3.3024","1.4786","null","null","null","91.1430","2457","6.1050",492515,595465,435559,518692,645277,547004,621020,607054,572669,455976,"54.3927","null","null","null","null","null","null","null",55,"9","Cutter",4,4,4,4,4,4,4,4
