"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score"
"KC","2017-07-31","83.0","-3.1105","5.8841","David Phelps",608336,475479,"strikeout","swinging_strike",,,,,"11","Joey Gallo strikes out swinging.  ","R","L","R","TEX","SEA","S",2,"null",3,2,2017,"0.2881","-0.4189","-0.9798","2.5674","null","null","435063.00",2,7,"Bot","null","null",,,434563,,"170801_024842","4.2405","-120.5132","-0.3477","1.8996","22.8065","-36.3037","3.4966","1.5075","null","null","null","81.2800","2599","5.1750",491677,475479,434563,502143,429664,572122,516416,592325,628338,547982,"55.3213","null","null","0.00",1,0,0,"null",65,"6","Knuckle Curve",4,4,4,4,4,4,4,4
"KC","2017-07-31","83.1","-3.0416","5.8505","David Phelps",608336,475479,"null","swinging_strike",,,,,"14","null","R","L","R","TEX","SEA","S","null","null",2,1,2017,"0.3544","-0.4918","1.0358","1.8923","null","null","435063.00",2,7,"Bot","null","null",,,434563,,"170801_024740","8.4503","-120.2954","-1.5747","1.5691","24.4879","-36.7079","3.4966","1.5075","null","null","null","80.8310","2639","5.1350",491677,475479,434563,502143,429664,572122,516416,592325,628338,547982,"55.3618","null","null","null","null","null","null","null",65,"4","Knuckle Curve",4,4,4,4,4,4,4,4
"KC","2017-07-31","82.8","-3.0653","5.9266","David Phelps",608336,475479,"null","ball",,,,,"14","null","R","L","R","TEX","SEA","B","null","null",0,0,2017,"0.2229","-0.9342","1.4314","1.7853","null","null","435063.00",2,7,"Bot","null","null",,,434563,,"170801_024618","9.5900","-119.8100","-1.1297","0.1198","24.1706","-40.8449","3.6984","1.8395","null","null","null","80.5600","2598","5.1630",491677,475479,434563,502143,429664,572122,516416,592325,628338,547982,"55.3335","null","null","null","null","null","null","null",65,"1","Knuckle Curve",4,4,4,4,4,4,4,4
"KC","2017-07-31","82.2","-1.4530","6.0524","Dellin Betances",543484,476454,"field_out","hit_into_play",,,,,"6","Mikie Mahtook pops out to shortstop Ronald Torreyes.  ","R","R","R","NYY","DET","X",6,"popup",3,2,2017,"0.7132","-0.3788","0.8243","2.4829","null","400121.00","null",2,7,"Top","113.65","122.80",,,596142,,"170801_014000","3.7822","-119.6224","-0.8882","6.1004","21.4677","-35.8356","3.3142","1.3965","188","77.6","56.8240","81.8880","2682","5.9130",491674,476454,596142,452104,642180,453943,591720,640449,453056,592450,"54.5847","0.029","0.034","0.00",1,0,0,3,61,"8","Knuckle Curve",5,2,2,5,2,5,2,5
"KC","2017-07-31","83.2","-3.1081","5.8574","David Phelps",435063,475479,"null","called_strike",,,,,"2","null","R","R","R","TEX","SEA","S","null","null",2,0,2017,"0.2002","-0.5571","0.0396","2.9322","null","null","null",2,7,"Bot","null","null",,,434563,,"170801_024427","6.6836","-120.6439","0.7808","0.5849","23.3805","-37.8290","3.1889","1.4479","null","null","null","81.3310","2605","5.2000",491677,475479,434563,502143,429664,572122,516416,592325,628338,547982,"55.2965","null","null","null","null","null","null","null",64,"3","Knuckle Curve",4,4,4,4,4,4,4,4
"KC","2017-07-31","83.3","-1.3064","6.1416","Dellin Betances",543484,476454,"null","foul",,,,,"12","null","R","R","R","NYY","DET","S","null","null",3,2,2017,"1.3763","-0.2151","1.0723","2.4089","null","400121.00","null",2,7,"Top","null","null",,,596142,,"170801_013937","2.7949","-121.1569","-1.6947","12.7921","24.0944","-34.1622","3.3142","1.3965","179","66.0","49.8077","82.6950","2698","5.9450",491674,476454,596142,452104,642180,453943,591720,640449,453056,592450,"54.5523","null","null","null","null","null","null","null",61,"7","Knuckle Curve",5,2,2,5,2,5,2,5
"KC","2017-07-31","84.0","-1.2135","6.1051","Dellin Betances",543484,476454,"null","foul",,,,,"12","null","R","R","R","NYY","DET","S","null","null",3,2,2017,"1.0360","-0.3063","0.8359","2.5260","null","400121.00","null",2,7,"Top","null","null",,,596142,,"170801_013905","2.7143","-122.3011","-1.3324","9.8509","23.2222","-35.2007","3.3142","1.3965","201","71.7","49.4754","84.0270","2757","6.1860",491674,476454,596142,452104,642180,453943,591720,640449,453056,592450,"54.3115","null","null","null","null","null","null","null",61,"6","Knuckle Curve",5,2,2,5,2,5,2,5
"KC","2017-07-31","83.3","-1.4683","6.1287","Dellin Betances",543484,476454,"null","called_strike",,,,,"5","null","R","R","R","NYY","DET","S","null","null",3,1,2017,"0.7985","0.0511","0.1266","2.9541","null","400121.00","null",2,7,"Top","null","null",,,596142,,"170801_013834","2.1157","-121.0579","-0.9664","7.3434","22.2731","-31.7304","3.6234","1.7440","null","null","null","82.6450","2601","5.7860",491674,476454,596142,452104,642180,453943,591720,640449,453056,592450,"54.7114","null","null","null","null","null","null","null",61,"5","Knuckle Curve",5,2,2,5,2,5,2,5
"KC","2017-07-31","81.3","-2.0530","6.5010","Brandon Workman",596019,519443,"single","hit_into_play_no_out",,,,,"8","Francisco Lindor singles on a soft line drive to right fielder Mookie Betts.  ","R","L","R","BOS","CLE","X","null","line_drive",0,1,2017,"0.4294","-1.1353","0.2079","1.6317","null","null","null",2,8,"Top","153.23","101.45",,,543877,,"170801_013809","4.2395","-118.2801","-2.1831","3.2217","21.8289","-42.5779","3.0154","1.2870","194","69.6","18.6340","81.1110","2385","6.0980",491673,519443,543877,519048,456488,646240,593428,571788,598265,605141,"54.4023","0.845","0.775","0.90",1,1,0,4,65,"2","Knuckle Curve",6,2,2,6,2,6,2,6
"KC","2017-07-31","80.0","-2.2448","6.3805","Brandon Workman",596019,519443,"null","called_strike",,,,,"3","null","R","L","R","BOS","CLE","S","null","null",0,0,2017,"0.2992","-1.0148","0.4122","3.2485","null","null","null",2,8,"Top","null","null",,,543877,,"170801_013746","5.2621","-116.2909","1.5799","1.8175","19.3257","-41.7792","3.1938","1.4891","null","null","null","79.6820","2243","5.8720",491673,519443,543877,519048,456488,646240,593428,571788,598265,605141,"54.6284","null","null","null","null","null","null","null",65,"1","Knuckle Curve",6,2,2,6,2,6,2,6
