"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score"
"CU","2017-05-31","77.8","-2.6870","6.0284","Johnny Barbato",455104,592127,"strikeout","swinging_strike",,,,,"3","Chris Iannetta strikes out swinging.  ","R","R","R","PIT","ARI","S",2,"null",0,2,2017,"0.6960","-0.8417","0.3716","2.8101","null","null","null",0,11,"Top","null","null",,,553869,,"170531_200736","5.2204","-112.9923","1.3810","4.8274","19.4230","-39.5994","3.2179","1.4092","null","null","null","76.1230","2423","5.0530",490889,592127,553869,605137,543281,501896,474568,624428,457705,444379,"55.4488","null","null","0.00",1,0,0,"null",83,"3","Curveball",4,4,4,4,4,4,4,4
"CU","2017-05-31","77.5","-0.9998","6.1710","Neil Ramirez",541650,519166,"null","called_strike",,,,,"6","null","R","R","R","NYM","MIL","S","null","null",0,0,2017,"0.2658","-0.5636","0.4769","2.2389","null","null","null",0,9,"Top","null","null",,,425784,,"170601_020621","2.6595","-112.7070","-0.5055","1.7811","19.3908","-37.0597","3.6116","1.5531","null","null","null","77.0860","2242","5.9020",490898,519166,425784,446263,435522,527038,452678,624424,501571,434158,"54.5976","null","null","null","null","null","null","null",74,"1","Curveball",0,7,7,0,7,0,7,0
"CU","2017-05-31","81.4","-1.2408","5.6523","Sam Dyson",519306,473879,"null","ball",,,,,"11","null","R","R","R","TEX","TB","B","null","null",1,1,2017,"0.2755","-0.4149","-0.9468","2.7900","null","null","null",0,10,"Top","null","null",,,518960,,"170601_033315","0.1487","-118.2333","0.9011","2.4926","21.6129","-36.3792","3.6458","1.5115","null","null","null","80.2970","2839","5.5310",490902,473879,518960,608336,596059,518902,462101,607387,592419,608577,"54.9654","null","null","null","null","null","null","null",77,"3","Curveball",4,5,5,4,5,4,5,4
"CU","2017-05-31","82.0","-1.2173","5.6611","Sam Dyson",519306,473879,"null","ball",,,,,"11","null","R","R","R","TEX","TB","B","null","null",0,1,2017,"0.1910","-0.1578","-1.2155","4.4375","null","null","null",0,10,"Top","null","null",,,518960,,"170601_033256","-0.3441","-118.9929","4.0038","1.8280","22.4228","-34.6392","3.5125","1.4448","null","null","null","80.6640","2815","5.4780",490902,473879,518960,608336,596059,518902,462101,607387,592419,608577,"55.0187","null","null","null","null","null","null","null",77,"2","Curveball",4,5,5,4,5,4,5,4
"CU","2017-05-31","87.8","-2.1818","6.1198","Brian Ellington",571830,623395,"null","ball",,,,,"14","null","R","R","R","MIA","PHI","B","null","null",1,1,2017,"0.5004","0.3083","0.0136","1.5588","null","null","null",0,8,"Top","null","null",,,454560,,"170531_195229","4.2596","-127.5852","-5.5167","4.5606","24.6641","-28.0190","3.5073","1.7810","null","null","null","87.1130","2631","5.7870",490901,623395,454560,571506,518568,518618,595375,542303,592885,400085,"54.7112","null","null","null","null","null","null","null",70,"3","Curveball",10,2,2,10,2,10,2,10
"CU","2017-05-31","85.9","-2.2696","6.0655","Brian Ellington",571830,623395,"null","ball",,,,,"11","null","R","R","R","MIA","PHI","B","null","null",0,0,2017,"0.3185","0.1982","-1.0716","3.1861","null","null","null",0,8,"Top","null","null",,,454560,,"170531_195144","2.1804","-124.8336","-0.9633","2.8151","24.2275","-30.2226","3.4310","1.7047","null","null","null","84.6500","2527","5.4560",490901,623395,454560,571506,518568,518618,595375,542303,592885,400085,"55.0414","null","null","null","null","null","null","null",70,"1","Curveball",10,2,2,10,2,10,2,10
"CU","2017-05-31","77.1","-0.9763","6.1635","Neil Ramirez",519299,519166,"field_out","hit_into_play",,,,,"7","Eric Sogard lines out to left fielder Michael Conforto.  ","R","L","R","NYM","MIL","X",7,"line_drive",1,2,2017,"0.0685","-0.8343","-0.7012","1.3221","null","null","null",0,8,"Top","75.27","110.53",,,425784,,"170601_015407","0.4594","-112.1884","-1.8699","0.4911","19.4950","-39.0287","2.8896","1.2020","239","75.0","24.4460","76.6540","2303","5.8790",490898,519166,425784,446263,435522,527038,452678,624424,501571,434158,"54.6209","0.768","0.697","0.00",1,0,0,4,67,"4","Curveball",0,7,7,0,7,0,7,0
"CU","2017-05-31","77.7","-1.0711","6.1940","Neil Ramirez",519299,519166,"null","called_strike",,,,,"2","null","R","L","R","NYM","MIL","S","null","null",1,1,2017,"0.0944","-0.6901","0.0289","3.0861","null","null","null",0,8,"Top","null","null",,,425784,,"170601_015342","2.1732","-113.0098","1.4547","0.4167","19.9823","-38.5105","3.0392","1.2619","null","null","null","77.3510","2186","5.9960",490898,519166,425784,446263,435522,527038,452678,624424,501571,434158,"54.5039","null","null","null","null","null","null","null",67,"3","Curveball",0,7,7,0,7,0,7,0
"CU","2017-05-31","82.2","-0.3635","6.0680","Austin Pruitt",608336,643493,"null","foul",,,,,"13","null","R","L","R","TEX","TB","S","null","null",0,0,2017,"0.1122","-0.9723","-1.2494","2.2318","null","null","null",0,9,"Bot","null","null",,,519083,,"170601_032023","-2.1607","-119.4545","-0.4182","1.4211","21.4200","-41.3156","3.4919","1.5026","8","66.0","-15.7627","80.5630","3048","5.0820",490902,643493,519083,489149,621002,446334,542921,605480,595281,519306,"55.4150","null","null","null","null","null","null","null",73,"1","Curveball",4,4,4,4,4,4,4,4
"CU","2017-05-31","80.2","2.1518","5.4681","Felipe Rivero",605113,553878,"null","called_strike",,,,,"5","null","R","R","L","PIT","ARI","S","null","null",1,0,2017,"-1.2540","-0.4530","0.0138","2.8574","null","null","null",0,9,"Top","null","null",,,465041,,"170531_192223","-2.4161","-116.6360","1.6201","-10.7810","19.1896","-36.7087","3.5801","1.7645","null","null","null","79.2920","2715","5.4090",490889,553878,465041,605137,543281,501896,474568,624428,457705,444379,"55.0924","null","null","null","null","null","null","null",66,"2","Curveball",3,4,4,3,4,3,4,3
