"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score"
"KC","2017-05-31","87.4","-2.5482","4.9837","Craig Kimbrel",641313,518886,"null","swinging_strike",,,,,"12","null","R","R","R","CWS","BOS","S","null","null",0,1,2017,"0.8049","-0.6210","1.1600","2.2028","null","null","null",1,9,"Bot","null","null",,,543877,,"170601_030731","7.2461","-126.8474","0.7072","7.0917","25.9249","-39.1668","2.9619","1.2039","null","null","null","86.6670","2704","5.9590",490891,518886,543877,519048,592710,571918,593428,643217,598265,605141,"54.5392","null","null","null","null","null","null","null",70,"2","Knuckle Curve",1,4,1,4,4,1,1,4
"KC","2017-05-31","85.6","-2.6844","5.1531","Craig Kimbrel",641313,518886,"null","called_strike",,,,,"4","null","R","R","R","CWS","BOS","S","null","null",0,0,2017,"0.5714","-0.8274","-0.7599","2.8927","null","null","null",1,9,"Bot","null","null",,,543877,,"170601_030714","3.3831","-124.3151","2.5810","5.1088","25.9775","-41.3819","3.5025","1.5971","null","null","null","84.7050","2553","5.9050",490891,518886,543877,519048,592710,571918,593428,643217,598265,605141,"54.5937","null","null","null","null","null","null","null",70,"1","Knuckle Curve",1,4,1,4,4,1,1,4
"KC","2017-05-31","83.0","-2.4946","5.4934","Santiago Casilla",596019,433586,"field_out","hit_into_play",,,,,"4","Francisco Lindor lines out to shortstop Adam Rosales.  ","R","L","R","CLE","OAK","X",6,"line_drive",1,2,2017,"0.4215","-0.5859","-0.5959","2.1152","null","null","null",1,9,"Bot","110.30","142.82",,,572033,,"170601_003430","3.5076","-120.6630","-0.1688","3.4090","22.4485","-38.0166","3.1129","1.3848","190","89.4","9.3780","82.4380","2500","5.8640",490900,433586,572033,475174,476704,461858,489267,501981,592192,459964,"54.6365","0.593","0.554","0.00",1,0,0,4,63,"5","Knuckle Curve",1,3,1,3,3,1,1,3
"KC","2017-05-31","82.5","-2.1679","6.0223","Archie Bradley",444379,605151,"null","foul",,,,,"13","null","R","L","R","PIT","ARI","S","null","null",1,1,2017,"0.0498","-0.9453","-0.9031","2.2820","null","null","null",1,8,"Bot","null","null",,,455104,,"170531_191600","2.7754","-120.1487","-0.2830","0.0123","20.3672","-41.4953","3.4087","1.5095","182","68.4","40.7864","82.7660","1998","6.1430",490889,605151,455104,502671,572008,571875,605113,453923,571681,444482,"54.3586","null","null","null","null","null","null","null",64,"3","Knuckle Curve",3,4,3,4,4,3,3,4
"KC","2017-05-31","81.2","-2.1149","5.9873","Archie Bradley",444379,605151,"null","ball",,,,,"13","null","R","L","R","PIT","ARI","B","null","null",0,0,2017,"0.2592","-1.2278","-0.5915","1.6044","null","null","null",1,8,"Bot","null","null",,,455104,,"170531_191512","2.9203","-118.3878","-0.9929","1.9583","19.7489","-43.7881","3.6535","1.8837","null","null","null","81.6220","2056","6.1880",490889,605151,455104,502671,572008,571875,605113,453923,571681,444482,"54.3131","null","null","null","null","null","null","null",64,"1","Knuckle Curve",3,4,3,4,4,3,3,4
"KC","2017-05-31","81.0","-2.6241","5.5702","Santiago Casilla",596019,433586,"null","called_strike",,,,,"4","null","R","L","R","CLE","OAK","S","null","null",0,0,2017,"0.4140","-0.8403","-0.5663","1.8578","null","null","null",1,9,"Bot","null","null",,,572033,,"170601_003235","3.7877","-117.7320","-0.0956","3.0663","22.3124","-40.0767","2.9873","1.3141","null","null","null","80.2840","2410","5.8530",490900,433586,572033,475174,476704,461858,489267,501981,592192,459964,"54.6469","null","null","null","null","null","null","null",63,"1","Knuckle Curve",1,3,1,3,3,1,1,3
"KC","2017-05-31","82.6","-1.1820","6.4417","Mark Melancon",150029,453343,"null","ball",,,,,"14","null","R","R","R","SF","WSH","B","null","null",2,2,2017,"0.9753","-1.1238","0.6707","0.3207","null","null","null",1,9,"Top","null","null",,,457763,,"170601_045135","2.3292","-119.9575","-5.1374","8.7206","26.5498","-41.9382","3.1784","1.4487","null","null","null","81.6890","2674","6.1110",490903,453343,457763,474832,605412,456488,543063,593525,452655,491676,"54.3898","null","null","null","null","null","null","null",66,"5","Knuckle Curve",1,3,3,1,3,1,3,1
"KC","2017-05-31","81.2","-1.2729","6.4205","Mark Melancon",150029,453343,"null","swinging_strike",,,,,"13","null","R","R","R","SF","WSH","S","null","null",1,1,2017,"0.7036","-1.1274","-0.4058","1.2627","null","null","null",1,9,"Top","null","null",,,457763,,"170601_045039","0.6142","-117.9140","-2.6815","6.2640","25.7098","-42.1109","3.4764","1.4790","null","null","null","80.0320","2699","5.9320",490903,453343,457763,474832,605412,456488,543063,593525,452655,491676,"54.5695","null","null","null","null","null","null","null",66,"3","Knuckle Curve",1,3,3,1,3,1,3,1
"KC","2017-05-31","81.4","-1.8384","6.1125","Archie Bradley",624428,605151,"grounded_into_double_play","hit_into_play",,,,,"5","Adam Frazier grounds into a double play, first baseman Paul Goldschmidt to shortstop Nick Ahmed to first baseman Paul Goldschmidt.   Jordy Mercer out at 2nd.  ","R","L","R","PIT","ARI","X",3,"ground_ball",0,2,2017,"0.7630","-1.0337","0.2325","1.9193","null","null","474568.00",1,7,"Bot","149.21","177.57",,,455104,,"170531_185826","3.1889","-118.3241","-0.8003","6.4610","23.9489","-41.8732","3.2176","1.3184","5","64.4","-20.2800","81.0480","2045","6.2450",490889,605151,455104,502671,572008,571875,605113,518614,453923,444482,"54.2567","0.036","0.048","0.00",1,0,0,2,58,"5","Knuckle Curve",3,4,3,4,4,3,3,4
"KC","2017-05-31","78.7","1.8889","6.3222","Drew Pomeranz",544725,519141,"null","called_strike",,,,,"12","null","R","R","L","CWS","BOS","S","null","null",0,0,2017,"-1.1855","-1.3573","0.9959","2.6173","null","null","null",1,7,"Bot","null","null",,,543877,,"170601_023748","0.1286","-114.2766","1.1238","-9.9113","21.1730","-43.9923","3.6255","1.5512","null","null","null","76.6280","2120","4.9260",490891,519141,543877,519048,592710,571918,593428,643217,598265,605141,"55.5731","null","null","null","null","null","null","null",58,"1","Knuckle Curve",1,4,1,4,4,1,1,4
